"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"ChainIDE: A Cloud-Based Integrated Development Environment for Cross-Blockchain Smart Contracts","H. Qiu; X. Wu; S. Zhang; V. C. M. Leung; W. Cai","Telecom Paris, Paris, France; White Matrix Inc., Nanjing, China; White Matrix Inc., Nanjing, China; Shenzhen University, Shenzhen, China; The Chinese University of Hong Kong, Shenzhen, China",2019 IEEE International Conference on Cloud Computing Technology and Science (CloudCom),"28 Jan 2020","2019","","","317","319","Blockchain has become novel solutions for many traditional issues in computer science and finance. Recently, with the release of Libra blockchain from Facebook, the decentralized finance concepts have another huge development. However, there are already many different blockchain systems existing now and the development of blockchain systems have become more and more complicated since each kind of blockchain development environment will consume time to be built. To make the programming on different blockchain systems more easily, we propose a novel cloud-based solution, namely ChainIDE, for the development of blockchain-based smart contracts on multiple kinds of blockchain systems. With chainIDE, cross-chain developing of smart contracts on different blockchain systems can be easily done without any time consumed by building the environment. Based on the operation statistics in this paper, we served more than 310,000 compilations in the past 30 days which makes us the most popular cloud-based cross-chain development platform in the world.","2330-2186","978-1-7281-5011-6","10.1109/CloudCom.2019.00055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968849","Blockchain;Smart Contract;Cross-chain Platform;Libra;Cloud IDE","","","8","","14","IEEE","28 Jan 2020","","","IEEE","IEEE Conferences"
"Rethinking Online Code Editors for Authoring Web-Based Multimedia Presentations","R. L. Guimarães","IBM Research, São Paulo, Brazil",2016 IEEE International Symposium on Multimedia (ISM),"19 Jan 2017","2016","","","405","406","In this demo, we present an online code editor that dynamically identifies and patches simple modifications in the source code of a Web document containing time-based elements (e.g., CSS3 and SVG animations, HTML5 audio and video) without the need to restart the playback of the whole document from the beginning. We hope that the functionalities shown in this demo can make learning to code more attractive.","","978-1-5090-4571-6","10.1109/ISM.2016.0092","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7823659","online code editor;multimedia authoring tool;immediate feedback;coding assistance;programmatic visualization;playback control;HTML;CSS;JavaScript","Multimedia communication;HTML;Cascading style sheets;Streaming media;Visualization;Browsers;Animation","","","","6","IEEE","19 Jan 2017","","","IEEE","IEEE Conferences"
"Towards Multi-User Mode in RIDE Web-IDE","I. A. Gornev; V. V. Bondarchuk; T. V. Liakh","Institute of Automation and Electrometry of the Siberian Branch of the RAS, Novosibirsk, Russia; Institute of Automation and Electrometry of the Siberian Branch of the RAS, Novosibirsk, Russia; Institute of Automation and Electrometry of the Siberian Branch of the RAS, Novosibirsk, Russia",2022 IEEE 23rd International Conference of Young Professionals in Electron Devices and Materials (EDM),"19 Aug 2022","2022","","","675","678","RIDE is an integrated development environment for the Reflex language, a process-oriented language designed for developing control algorithms for cyber-physical systems. RIDE was developed based on Eclipse Theia – an open source web IDE framework. Despite being based on web technologies such as Node.JS, RIDE can not serve as a web application for multiple users simultaneously. The paper describes an approach for configuring a server environment and creating a host program that makes hosting RIDE as a public web application possible. It provides problem analysis, tools and frameworks survey, and implementation details. Among discussed technologies are Docker, Kubernetes, and Eclipse Che. For multi-user support and security reasons, an instance of RIDE runs in an independent Docker container for each client. The host program handles input connections, runs and stops Docker containers with RIDE. The described approach may be used for deploying other single-user applications in the cloud turning them into web-services.","2325-419X","978-1-6654-9804-3","10.1109/EDM55285.2022.9855114","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9855114","cloud IDE;web;Docker;multi-user management;process-oriented programming","Protocols;Web services;Process control;Containers;Cyber-physical systems;Turning;Servers","","1","","34","IEEE","19 Aug 2022","","","IEEE","IEEE Conferences"
"Matlab Programming Environment Based on Web","L. Yu","School of Software Technology, Zhejiang University, Zhejiang, China",2018 IEEE 4th Information Technology and Mechatronics Engineering Conference (ITOEC),"21 Jun 2019","2018","","","509","512","Matlab is a mathematics software, which is the industry leader in numerical calculation, but this software takes up a lot of system memory and is extremely cumbersome to install. As various types of modeling rise and the intensity and frequency of discipline penetration are deepened and accelerate gradually, Matlab has gradually entered more people's field of vision. In order to simplify the programming environment and improve the convenience, a Matlab programming environment based on Web is proposed in this paper. Compared with the traditional Matlab programming environment, the main features of the system are that it does not need to deploy any development environment locally, and users can write and run Matlab code through the browser of mobile phone, tablet, computer; at the same time, the system also supports standard input, parameter input, and image output. Through the research and testing of the system, the programming environment has strong feasibility, excellent user experience, good concurrency and stability.","","978-1-5386-5373-9","10.1109/ITOEC.2018.8740716","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8740716","Matlab;Web;programming environment;online programming","Matlab;Programming environments;Software;Programming;Tools;Servers;Computer languages","","7","","12","IEEE","21 Jun 2019","","","IEEE","IEEE Conferences"
"Towards Collaborative Coding in RIDE Web IDE","I. A. Gornev; V. V. Bondarchuk","Cyber-Physical Systems Laboratory Institute of Automation and Electrometry of the Siberian Branch of the RAS, Novosibirsk, Russia; Cyber-Physical Systems Laboratory Institute of Automation and Electrometry of the Siberian Branch of the RAS, Novosibirsk, Russia",2023 IEEE XVI International Scientific and Technical Conference Actual Problems of Electronic Instrument Engineering (APEIE),"13 Dec 2023","2023","","","970","974","RIDE is an integrated development environment (IDE) suited for the Reflex language, specifically designed for creating control algorithms for cyber-physical systems. RIDE is based on Eclipse Theia and a host program running independent instances for each user. However, it does not provide collaborative experience. Eclipse Theia is designed for single-user; therefore, collaborative programming is hampered by security and ease of use issues. This paper outlines a server program architecture to add collaborative abilities to otherwise single-user web applications. The suggested approach is application independent. It is applicable to other single-user applications, making it possible to deploy them in the cloud as web services. The paper provides a detailed analysis of the problem, as well as the tools and frameworks used for implementing this design with RIDE. This implementation makes use of Docker for containerization, Python and Flask for host program, Google Auth for user authentication, and SQLite for the database.","2473-8573","979-8-3503-3088-5","10.1109/APEIE59731.2023.10347731","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10347731","CPS;process-oriented programming;Reflex;cloud IDE;web application;multi-user management","Source coding;Instruments;Collaboration;Computer architecture;Programming;Software;Service-oriented architecture","","1","","23","IEEE","13 Dec 2023","","","IEEE","IEEE Conferences"
"A Novel Browser-based No-code Machine Learning Application Development Tool","E. Ozan","Department of Technology Systems, East Carolina University, Greenville, North Carolina, USA",2021 IEEE World AI IoT Congress (AIIoT),"21 Jun 2021","2021","","","0282","0284","Machine learning (ML) application development constitutes a complex process that requires developers to have considerable amount of programming and specialized technical skills. There is still a substantial barrier for researchers who do not possess the programming and technical skills to develop ML models that meets the needs of their specific fields of study. The typical ML model development workflow entails the installation of a set of software elements and a certain amount of code development. This paper introduces a browser-based ML application development tool that is geared towards the needs of researchers who have limited knowledge in programming. The tool allows the users to create a customized image classifier model based on the image sets that they provide. The tool provides a no-code workflow that enables users to create and test their ML models on a browser without downloading any software modules.","","978-1-6654-3568-0","10.1109/AIIoT52608.2021.9454239","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9454239","Machine learning;artificial intelligence application development tools;browser-based machine learning systems;system design;machine learning model development","Machine learning;Computer architecture;Tools;Programming;Writing;Browsers;Open source software","","7","","6","IEEE","21 Jun 2021","","","IEEE","IEEE Conferences"
"GAPP: Inventory Tracking Applications in Mobile Networks","G. Duvall; N. N. Xiong","Department of Mathematics and Computer Science, Northeastern State University, Tulsa, USA; Department of Mathematics and Computer Science, Northeastern State University, Tulsa, USA","2020 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","14 Dec 2020","2020","","","987","993","On a daily basis people waste so many items, and what better way to help them from wasting but to create an app that tracks their groceries, creates less waste in the world and saves money at the same time in mobile networks. People waste food on average 1 pound per person each day they live. The application GAPP will cut down costs and waste in everyday life. People also misplace or lose track of items daily. Location of items is a big deal and knowing where they are at all times on a device would help.","2577-1655","978-1-7281-8526-2","10.1109/SMC42975.2020.9282947","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9282947","cloud computing;computing services;database architecture;Amazon Web Services (AWS);EC2;Relation Database Services (RDS);framework;MVC (Model View Controller);Open Source;Laravel;PHP;MariaDB;MySQL;JQuery;Twitter Bootstrap;Source Code Control;GITHUB;collaboration;Google G-Suite Services;Universal Product Code (UPC);Application Program Interface (API);web scrape;inventory control;Integrated Development Environment (IDE);Google Mobile Vision API;DSP environments (Development/Staging/Production);user roles;HTML;push notifications;full stack;web view","Computer languages;Product codes;Web services;Databases;Conferences;Computational modeling;Cybernetics","","","","25","IEEE","14 Dec 2020","","","IEEE","IEEE Conferences"
"Good-Bye Localhost: A Cloud-Based Web IDE for Teaching Java EE Web Development to Non-Computer Science Majors","M. Leisner; P. Brune","Department of Information Management, University of Applied Sciences Neu-Ulm, D-89231 Neu-Ulm, Germany; Department of Information Management, University of Applied Sciences Neu-Ulm, D-89231 Neu-Ulm, Germany",2019 IEEE/ACM 41st International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),"19 Aug 2019","2019","","","268","269","While cloud-and web-based Integrated Development Environments (IDE) are used in practice and education for some time, these are mainly intended for classical web development. Support for enterprise platforms such as Java Enterprise Edition (EE) is typically lacking. However, in higher education, web-based cloud IDE are particularly useful in software development courses for non-computer science major students, since they could help to overcome the participants' limited IT skills. Thus, a respective easy-to-use web IDE is required. Therefore, in this paper a software platform for a web-based cloud IDE for educational purposes is proposed and evaluated, which in particular supports Java EE and is suitable for non-computer science majors. The platform was evaluated in a classroom experiment. The results indicate that it is useful and beneficial for the students, allowing the lecturer and the students to focus more on the actual learning objectives.","2574-1934","978-1-7281-1764-5","10.1109/ICSE-Companion.2019.00108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8802810","Web Development Education, Java EE, Higher Education, Non-Computer Science Majors, Cloud Computing","Cloud computing;Java;Education;Software;Programming profession;Interviews","","1","","9","IEEE","19 Aug 2019","","","IEEE","IEEE Conferences"
"RIDE: Theia-Based Web IDE for the Reflex Language","I. Gornev; T. Liakh","Institute of Automation and Electrometry of the Siberian Branch of the RAS, Novosibirsk, Russia; Institute of Automation and Electrometry of the Siberian Branch of the RAS, Novosibirsk, Russia",2021 IEEE 22nd International Conference of Young Professionals in Electron Devices and Materials (EDM),"16 Aug 2021","2021","","","503","506","The process-oriented programming language Reflex is a programming language for cyber-physical systems' (CPS) control software. It is based on the formal hyperprocess model. Reflex has proved effective in industrial projects. But using Reflex is difficult due to the lack of IDE for Reflex programs. In this paper, we develop a cloud desktop IDE for the Reflex language - RIDE. Modularity is the main principle of RIDE architecture. It meets the needs of CPS software development process and allows extending the IDE functionality. Reflex IDE extensions may provide various functionalities, such as a graphical representation of the Reflex code, translators to other programming languages, debugging, and verification techniques.","2325-419X","978-1-6654-1498-2","10.1109/EDM52169.2021.9507678","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9507678","process-oriented programming;cloud IDE;web;cyber-physical systems;control software","Computer languages;Web services;Process control;Computer architecture;Debugging;Writing;Syntactics","","3","","25","IEEE","16 Aug 2021","","","IEEE","IEEE Conferences"
"Development of Project Management Module for Reflex Cloud IDE","Y. Kuznetsov; V. Zyubin","Cyber-Physical Systems lab, Institute of Automation and Electrometry, Novosibirsk, Russia; Cyber-Physical Systems lab, Institute of Automation and Electrometry, Novosibirsk, Russia",2024 International Russian Smart Industry Conference (SmartIndustryCon),"8 May 2024","2024","","","957","961","Paper describes a project management module for the Reflex process-oriented language cloud IDE. Currently, a prototype IDE called RIDE has been developed for the Reflex language, based on Eclipse Theia. This implementation approach allows the user to launch the IDE in a browser and immediately begin developing embedded control software. However, Theia is aimed at single-user applications and this drawback limits complexity of the programs. Therefore, Reflex IDE requires a development environment, which provides sufficient features for group development. The paper analyzes existing cloud IDEs and multi-user collaboration in projects, formulates architectural requirements for the project management module, and describes the implementation of the cloud IDE RIDE using the Reflex language.","","979-8-3503-9504-4","10.1109/SmartIndustryCon61328.2024.10515647","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10515647","cloud IDE;RIDE;Reflex;Industry 4.0;project management module","Industries;Project management;Prototypes;Collaboration;Software;Complexity theory;Browsers","","","","15","IEEE","8 May 2024","","","IEEE","IEEE Conferences"
